idfcod,idfarr,"idfarr,idfcod"
50000051,claudel,"claudel,50000051"
50000052,loumichr,"loumichr,50000052"
50000053,maimlv1a,"maimlv1a,50000053"
50000054,statio1r,"statio1r,50000054"
50000055,scoeurr,"scoeurr,50000055"
50000056,batesr,"batesr,50000056"
50000057,meriser,"meriser,50000057"
50000058,gravierr,"gravierr,50000058"
50000059,magmair,"magmair,50000059"
50000060,park,"park,50000060"
50000061,sncfmlv3,"sncfmlv3,50000061"
50000062,maimlv1r,"maimlv1r,50000062"
50000063,lyclavoi,"lyclavoi,50000063"
50000064,condorce,"condorce,50000064"
50000065,duhamela,"duhamela,50000065"
50000066,europe2,"europe2,50000066"
50000067,hugo,"hugo,50000067"
50000068,smac,"smac,50000068"
50000069,paljust,"paljust,50000069"
50000070,rdpoint,"rdpoint,50000070"
50000071,maljuinr,"maljuinr,50000071"
50000072,corotr,"corotr,50000072"
50000073,gendarr,"gendarr,50000073"
50000074,pbertr,"pbertr,50000074"
50000075,steann3,"steann3,50000075"
50000076,roosvelt,"roosvelt,50000076"
50000077,garemlj1,"garemlj1,50000077"
50000078,gravier2,"gravier2,50000078"
50000079,mlvgarev,"mlvgarev,50000079"
50000080,maimlv2r,"maimlv2r,50000080"
50000081,auchant,"auchant,50000081"
50000082,beyneant,"beyneant,50000082"
50000083,buthor,"buthor,50000083"
50000084,merisea,"merisea,50000084"
50000085,plaisar,"plaisar,50000085"
50000086,jmoulant,"jmoulant,50000086"
50000087,valmoant,"valmoant,50000087"
50000088,raviner,"raviner,50000088"
50000089,hclerant,"hclerant,50000089"
50000090,abatoant,"abatoant,50000090"
50000091,interant,"interant,50000091"
50000092,tabuant,"tabuant,50000092"
50000093,braunant,"braunant,50000093"
50000094,cliniqa,"cliniqa,50000094"
50000095,godauant,"godauant,50000095"
