idfcod,idfarr,"idfarr,idfcod"
50089961,mbrarca,"mbrarca,50089961"
50089962,mbrberg2,"mbrberg2,50089962"
50089963,mbrfort,"mbrfort,50089963"
50089964,mbrbret,"mbrbret,50089964"
50089965,mbrnewt,"mbrnewt,50089965"
50089966,mbrniep2,"mbrniep2,50089966"
50089967,boabonn,"boabonn,50089967"
50089968,boaclair,"boaclair,50089968"
50089969,boatati,"boatati,50089969"
50089970,boavons,"boavons,50089970"
50089971,boaarle2,"boaarle2,50089971"
50089972,boalang,"boalang,50089972"
50089973,boacroi,"boacroi,50089973"
50089974,boapvc,"boapvc,50089974"
50089975,boaegli,"boaegli,50089975"
50089976,boahote,"boahote,50089976"
50089977,boavert2,"boavert2,50089977"
50089978,mbrviei,"mbrviei,50089978"
50089979,mbrmalr2,"mbrmalr2,50089979"
50089980,mbrbles2,"mbrbles2,50089980"
50089981,mbrverg2,"mbrverg2,50089981"
50089982,mbrpave2,"mbrpave2,50089982"
50089983,mbrpeup2,"mbrpeup2,50089983"
50089984,mbrbosq2,"mbrbosq2,50089984"
50089985,mbrcham2,"mbrcham2,50089985"
50089986,trasavi2,"trasavi2,50089986"
50089987,traclap2,"traclap2,50089987"
50089988,trahenn2,"trahenn2,50089988"
50089989,trapapi2,"trapapi2,50089989"
50089990,traeins2,"traeins2,50089990"
50089991,tracope2,"tracope2,50089991"
50089992,trakepl2,"trakepl2,50089992"
50089993,trafrmi2,"trafrmi2,50089993"
50089994,elasegu2,"elasegu2,50089994"
50089995,elasegu,"elasegu,50089995"
50089996,trafrmi,"trafrmi,50089996"
50089997,trakepl,"trakepl,50089997"
50089998,traeins,"traeins,50089998"
50089999,trapapi,"trapapi,50089999"
50090000,trahenn,"trahenn,50090000"
50090001,traclap,"traclap,50090001"
50090002,trasavi,"trasavi,50090002"
50090003,mbrcham,"mbrcham,50090003"
50090004,mbrbosq,"mbrbosq,50090004"
50090005,mbrpeup,"mbrpeup,50090005"
50090006,mbrpave,"mbrpave,50090006"
50090007,mbrverg,"mbrverg,50090007"
50090008,mbrbles,"mbrbles,50090008"
50090009,mbrmalr,"mbrmalr,50090009"
50090010,mbrviei2,"mbrviei2,50090010"
50090011,boavert,"boavert,50090011"
50090012,boahote2,"boahote2,50090012"
50090013,boapuit2,"boapuit2,50090013"
50090014,tralumi2,"tralumi2,50090014"
50090015,traflac,"traflac,50090015"
50090016,tracirc2,"tracirc2,50090016"
50090017,tracirc,"tracirc,50090017"
50090018,traflac2,"traflac2,50090018"
50090019,tralumi,"tralumi,50090019"
50090020,boapvc2,"boapvc2,50090020"
50090021,boacroi2,"boacroi2,50090021"
50090022,boalang2,"boalang2,50090022"
50090023,mausqré,"mausqré,50090023"
50090024,mausqma,"mausqma,50090024"
50090025,maucomm4,"maucomm4,50090025"
50090026,lvegare,"lvegare,50090026"
50090027,maucomm3,"maucomm3,50090027"
50090028,mausqma2,"mausqma2,50090028"
50090029,mausqré2,"mausqré2,50090029"
50090030,trapoli2,"trapoli2,50090030"
50090031,lveetan4,"lveetan4,50090031"
50090032,lveetan3,"lveetan3,50090032"
50090033,trapoli,"trapoli,50090033"
50090034,tragare,"tragare,50090034"
50090035,tracast2,"tracast2,50090035"
50090036,trasand2,"trasand2,50090036"
50090037,traverl2,"traverl2,50090037"
50090038,tracoct2,"tracoct2,50090038"
50090039,tracamu2,"tracamu2,50090039"
50090040,trajara2,"trajara2,50090040"
50090041,tralurç3,"tralurç3,50090041"
50090042,tragaug,"tragaug,50090042"
50090043,tramaro,"tramaro,50090043"
50090044,mauagio2,"mauagio2,50090044"
50090045,maupyra3,"maupyra3,50090045"
